PID,SalePrice,Usage
527105030,195500,Public
527127150,213500,Public
527163010,175900,Public
527216070,538000,Public
527258010,394432,Public
527276150,141000,Public
527368020,216000,Public
527402250,149900,Public
527404120,126000,Public
527451180,96000,Public
528120090,290941,Public
528120100,220000,Public
528120120,275000,Public
528138020,259000,Public
528175010,224000,Public
528180070,319900,Public
528231020,184500,Public
528292020,222500,Public
528358010,260400,Public
528445060,221500,Public
531451280,189000,Public
531453040,171000,Public
531477050,67500,Public
532351140,112000,Public
532479070,169000,Public
533130160,285000,Public
533205060,260000,Public
533210060,155000,Public
533223020,155000,Public
533352170,130500,Public
534102025,230000,Public
534129040,218500,Public
534152070,212500,Public
534176230,171000,Public
534251320,143000,Public
534276360,128950,Public
534401140,178900,Public
534451150,76500,Public
535101020,178000,Public
535304180,109000,Public
535327140,107500,Public
535377090,144000,Public
535401080,162000,Public
535425010,242000,Public
902104060,96500,Public
902106140,115000,Public
902125160,80000,Public
902128170,119000,Public
902206040,130000,Public
902206130,119000,Public
902207140,105900,Public
902305110,150000,Public
902402130,125500,Public
902403070,140750,Public
903204040,128500,Public
903233120,138400,Public
903234050,109500,Public
903430080,122000,Public
904300150,107500,Public
905101310,136500,Public
905105070,154000,Public
905106140,158000,Public
905106170,137250,Public
905107250,163000,Public
905107320,158900,Public
905109130,328000,Public
905109170,270000,Public
905325030,260000,Public
905426200,144500,Public
905452110,127000,Public
905453080,308030,Public
906402200,320000,Public
906425045,138500,Public
907125090,159000,Public
907180050,191000,Public
907200340,128200,Public
907250030,318000,Public
907252120,272000,Public
907262050,237000,Public
907401090,232000,Public
908102060,84900,Public
908102110,155891,Public
908102130,100000,Public
908102170,144000,Public
908152080,107000,Public
908203100,90000,Public
908208020,140000,Public
909100080,104000,Public
909176140,127000,Public
909250060,169000,Public
909281080,257500,Public
909428280,335000,Public
909455040,162500,Public
910202060,125500,Public
910205120,110000,Public
916386010,220000,Public
916386090,269500,Public
923202105,173500,Public
923225300,83500,Public
923225390,119500,Public
923226320,75500,Public
923276250,159000,Public
924100050,161000,Public
527108070,377500,Public
527110020,168500,Public
527127100,375000,Public
527131030,278000,Public
527132090,240000,Public
527162110,185000,Public
527162120,191000,Public
527164020,166000,Public
527166010,225000,Public
527182110,187500,Public
527258020,260000,Public
527355150,278000,Public
527356040,157000,Public
527359180,197500,Public
527365030,263435,Public
527375100,213000,Public
527402220,148500,Public
527403040,156000,Public
527451540,97000,Public
527451640,118000,Public
527453050,146000,Public
527453060,148500,Public
527454050,147000,Public
527455050,147000,Public
527455240,100000,Public
528104070,485000,Public
528108010,256300,Public
528108070,335000,Public
528118060,409900,Public
528120020,255500,Public
528142090,280000,Public
528166060,386250,Public
528166090,445000,Public
528168030,290000,Public
528174050,213000,Public
528174060,196000,Public
528174070,184500,Public
528186180,254000,Public
528188020,173000,Public
528218090,184000,Public
528220040,167800,Public
528228290,174000,Public
528235090,200000,Public
528240150,195500,Public
528250020,192000,Public
528275160,257500,Public
528280230,244000,Public
528292040,181000,Public
528292070,214000,Public
528344100,336000,Public
528431070,257500,Public
528441020,253000,Public
528456180,252678,Public
528458020,225000,Public
528458160,370878,Public
528458180,238500,Public
528488100,185000,Public
531369020,203000,Public
531375040,159000,Public
531375090,142000,Public
531375130,153000,Public
531385020,189000,Public
531477020,82000,Public
532378180,123000,Public
533206020,280750,Public
533210010,164500,Public
533213010,222000,Public
533213020,195000,Public
533223030,156000,Public
534127130,185000,Public
534128100,162000,Public
534151120,230000,Public
534175080,213250,Public
534226120,117500,Public
534250400,168500,Public
534276040,127500,Public
534278070,177625,Public
534400290,153000,Public
534431130,122000,Public
534475185,149500,Public
534476150,167000,Public
535104120,187500,Public
535126010,193500,Public
535151040,150000,Public
535179160,144000,Public
535300120,176000,Public
535301170,153000,Public
535303150,123000,Public
535325290,115000,Public
535354070,129900,Public
535376060,149000,Public
535377150,114000,Public
535382100,156500,Public
535383120,78500,Public
535402010,190000,Public
535402330,200000,Public
535403280,153000,Public
535451250,138000,Public
535453200,132500,Public
902102080,110000,Public
902103100,128900,Public
902103120,103500,Public
902103170,66500,Public
902106060,107500,Public
902110080,135000,Public
902201110,129500,Public
902205030,37900,Public
902207170,99500,Public
902326030,265979,Public
902327070,160000,Public
902329080,119000,Public
902331010,58500,Public
902402150,85000,Public
903200080,223500,Public
903201020,149000,Public
903202170,137000,Public
903226130,128000,Public
903227070,117000,Public
903227090,132500,Public
903231060,60000,Public
903231130,105000,Public
903458170,103000,Public
903476090,97500,Public
904301060,179000,Public
904301070,179000,Public
904351240,63000,Public
905103040,172500,Public
905103070,113500,Public
905105190,130000,Public
905108220,137000,Public
905225090,165000,Public
905451300,121500,Public
905451340,60000,Public
905452040,154400,Public
905480030,105000,Public
905480210,108000,Public
906201021,162000,Public
906201130,316600,Public
906226120,142953,Public
906226130,148325,Public
906226140,113722,Public
906230010,269500,Public
906230020,269500,Public
906230030,269500,Public
906380100,239000,Public
906380130,220000,Public
906426210,233500,Public
907126050,143000,Public
907130100,231500,Public
907135170,138000,Public
907181100,192000,Public
907194010,230000,Public
907201280,134900,Public
907202080,136500,Public
907227080,123000,Public
907227290,133000,Public
907252210,236500,Public
907252220,261500,Public
907265010,211000,Public
907275010,220000,Public
907290180,144000,Public
907414080,173500,Public
908102050,108000,Public
908128060,198500,Public
908152035,127000,Public
908154040,320000,Public
908186080,145500,Public
908203090,85000,Public
908225290,120000,Public
909101010,110000,Public
909129100,159434,Public
909250080,105000,Public
909250220,135000,Public
909251050,147500,Public
909254010,137000,Public
909257050,234000,Public
909275080,205000,Public
909278020,154900,Public
909282130,144800,Public
909451040,115000,Public
909451140,121000,Public
909451180,124000,Public
909475300,222000,Public
910204050,123000,Public
911104060,75000,Public
911370500,230000,Public
914465040,239686,Public
914465055,240000,Public
914475010,156450,Public
916382100,410000,Public
916382110,316500,Public
916386140,201000,Public
916403010,175000,Public
916403200,204000,Public
916455070,220000,Public
916460110,170000,Public
923201100,139500,Public
923230200,131900,Public
923275040,165500,Public
923400025,143000,Public
526351030,176500,Public
526353050,237500,Public
527106050,165000,Public
527106140,195500,Public
527107210,175000,Public
527208010,355000,Public
527276040,133000,Public
527301170,215000,Public
527302185,235000,Public
527357110,146900,Public
527358120,180000,Public
527427110,181000,Public
527450250,100000,Public
527451400,89500,Public
527451550,111750,Public
527453160,143000,Public
528102030,394617,Public
528102110,426000,Public
528108150,317500,Public
528118030,390000,Public
528170070,284000,Public
528180110,336860,Public
528186080,266000,Public
528188090,155000,Public
528190010,207000,Public
528228540,187687,Public
528235020,179000,Public
528235180,190000,Public
528240040,176000,Public
528315060,284500,Public
528363110,350000,Public
528365060,341000,Public
528365080,287500,Public
528427010,235128,Public
528458050,250580,Public
528462040,182000,Public
528477040,226700,Public
528478040,250000,Public
528490080,207500,Public
531363060,141000,Public
531375110,159000,Public
531375120,155000,Public
531382110,163000,Public
531382120,193500,Public
531385060,190500,Public
531450030,175000,Public
532351050,128000,Public
533213120,172900,Public
533236070,200000,Public
533236090,345000,Public
533250160,324000,Public
533350120,290000,Public
534126090,174000,Public
534127210,183000,Public
534127230,150000,Public
534129060,215000,Public
534177180,240000,Public
534201240,141000,Public
534225110,145000,Public
534252270,176000,Public
534400030,155000,Public
534401130,174900,Public
534401190,140000,Public
534403100,168500,Public
534455030,141500,Public
534477080,119000,Public
534479150,112900,Public
535105060,174000,Public
535151160,140000,Public
535178060,139000,Public
535301080,116000,Public
535305160,110000,Public
535352080,118500,Public
535354200,146000,Public
535380050,140000,Public
535380110,86900,Public
535425060,186000,Public
535426260,157000,Public
535451230,98300,Public
535453040,125900,Public
535453210,155000,Public
535456100,109500,Public
535477090,136870,Public
902100020,143000,Public
902100030,73000,Public
902109110,200000,Public
902201120,115000,Public
902201140,147000,Public
902202090,140000,Public
902304060,130000,Public
902401120,325000,Public
902405070,184000,Public
902406090,131500,Public
902427045,97000,Public
903201030,138000,Public
903226060,164900,Public
903226150,119000,Public
903228060,105000,Public
903231080,123000,Public
903232090,162900,Public
903234090,123500,Public
903235100,68500,Public
903236010,127000,Public
903400180,207000,Public
903401020,184000,Public
903401030,162500,Public
903425420,130000,Public
903452025,93850,Public
903456130,127000,Public
903458110,89500,Public
903475020,125000,Public
903484020,135000,Public
904100020,124000,Public
904100040,134000,Public
904101170,134432,Public
905103030,157500,Public
905108170,152000,Public
905200090,108959,Public
905227050,152400,Public
905352030,192000,Public
905401045,241500,Public
905425125,240000,Public
905426030,260000,Public
905480150,79000,Public
906204280,260000,Public
906420130,228000,Public
907126030,155000,Public
907194020,231500,Public
907202010,158000,Public
907202160,147000,Public
907202190,143195,Public
907202240,163000,Public
907227050,127000,Public
907253060,235000,Public
907255060,300000,Public
907260010,255900,Public
907262030,224900,Public
907285080,210000,Public
907290250,145000,Public
907295020,208900,Public
907405140,208500,Public
907412070,210000,Public
908102030,85000,Public
908103260,165000,Public
908128050,137500,Public
908128110,165400,Public
908152110,160500,Public
908154235,160000,Public
908186040,148000,Public
908226120,120000,Public
908250090,99000,Public
908275180,135000,Public
908275280,135500,Public
908276140,100000,Public
909100170,98000,Public
909101180,135900,Public
909131170,140000,Public
909175050,179500,Public
909175100,136500,Public
909275040,138000,Public
909275050,149000,Public
909281030,104000,Public
909425085,263400,Public
909451020,116500,Public
910200080,126000,Public
911370490,294464,Public
911370520,250000,Public
914475020,171000,Public
914476080,100000,Public
916226030,241500,Public
916402215,180000,Public
916460060,195000,Public
923225310,105000,Public
923225370,94900,Public
923227030,152500,Public
923252100,128500,Public
923400040,160000,Public
924100020,172000,Public
526352080,167300,Public
527110080,177000,Public
527110130,161500,Public
527126030,251000,Public
527165020,160000,Public
527226040,155000,Public
527256040,455000,Public
527301080,182900,Public
527301280,174000,Public
527302090,213000,Public
527325110,190000,Public
527327050,195000,Public
527353080,197000,Public
527356050,152000,Public
527377110,178900,Public
527402090,139000,Public
527402150,143250,Public
527404050,133000,Public
527404140,123000,Public
527427160,155000,Public
527450030,113500,Public
527455030,142500,Public
528102120,322400,Public
528102130,318000,Public
528106110,450000,Public
528120010,260116,Public
528142050,319500,Public
528150110,342000,Public
528150120,354000,Public
528172050,245700,Public
528174030,200000,Public
528181080,202500,Public
528186050,280000,Public
528218020,176000,Public
528221040,198444,Public
528221050,203000,Public
528221090,179540,Public
528222030,176485,Public
528222060,166000,Public
528222090,173500,Public
528228275,194201,Public
528228375,226500,Public
528231030,188500,Public
528275110,219500,Public
528290170,187000,Public
528294010,185000,Public
528322020,384500,Public
528354060,269790,Public
528427100,260261,Public
528429110,282922,Public
528435060,248328,Public
528445020,250000,Public
528456190,208900,Public
528458090,212109,Public
528458130,303477,Public
528458150,310013,Public
528480180,261329,Public
528482090,340000,Public
531376060,181000,Public
531451030,179200,Public
531451150,128000,Public
531477040,144000,Public
532353120,120750,Public
532354010,132500,Public
532354060,132000,Public
532354070,132500,Public
532378240,125500,Public
532479120,171000,Public
533208010,208900,Public
533208070,164700,Public
533213140,176000,Public
533221060,177000,Public
533221100,177000,Public
533223050,148800,Public
533244040,312500,Public
533250190,279700,Public
533252130,218000,Public
533350020,373000,Public
534104090,226000,Public
534151090,188500,Public
534202030,143000,Public
534252060,119000,Public
534252110,139900,Public
534401120,163500,Public
534403290,224500,Public
534425080,181900,Public
534450090,39300,Public
534476080,144000,Public
534479120,105000,Public
535101150,126000,Public
535102010,175000,Public
535105110,158500,Public
535176070,150000,Public
535177020,120000,Public
535177110,174850,Public
535301060,142000,Public
535301160,128600,Public
535302070,125000,Public
535304170,136000,Public
535305180,134500,Public
535327200,132000,Public
535450190,122900,Public
535450220,119200,Public
535450310,143000,Public
535451040,119000,Public
535452060,135000,Public
535453180,152000,Public
535457040,141000,Public
535477180,125500,Public
902106070,127500,Public
902107050,140000,Public
902205020,85000,Public
902206270,137000,Public
902300020,184900,Public
902301130,114000,Public
902303100,144100,Public
902330090,185000,Public
903201090,136500,Public
903228080,131000,Public
903231090,126000,Public
903233050,137500,Public
903233140,132000,Public
903401070,165000,Public
903425270,90000,Public
903430040,113000,Public
903454010,127000,Public
903484080,50000,Public
905101070,115400,Public
905102010,165000,Public
905103110,123000,Public
905104170,108000,Public
905105170,134500,Public
905200010,129000,Public
905226080,165250,Public
905226130,150000,Public
905226170,137000,Public
905228020,89500,Public
905301050,302000,Public
905475270,118000,Public
905476160,150000,Public
906378170,279500,Public
906380010,200141,Public
906380140,155835,Public
906380200,195400,Public
906403060,207000,Public
907125120,126000,Public
907130060,177500,Public
907180040,204750,Public
907192020,190550,Public
907192150,180000,Public
907202100,130000,Public
907227100,117000,Public
907250050,305900,Public
907252020,228500,Public
907260040,192000,Public
907262020,200000,Public
907275150,275000,Public
907285040,240000,Public
907295040,246900,Public
907420050,167840,Public
908102100,140000,Public
908152070,148000,Public
908152280,157000,Public
908152290,171500,Public
908186050,140000,Public
908225310,98500,Public
909176170,150000,Public
909251040,146500,Public
909254130,164000,Public
909254140,90350,Public
909256120,119750,Public
909275160,153500,Public
909276210,188000,Public
909281020,140000,Public
909282020,259500,Public
909425140,257500,Public
910202030,75200,Public
910204090,67000,Public
914452090,183500,Public
914452120,156000,Public
914460020,215000,Public
914460110,245000,Public
916226090,244000,Public
916253320,330000,Public
916384150,239000,Public
916455050,180500,Public
916460020,178000,Public
916475020,270000,Public
921128030,392000,Public
923202134,147000,Public
923204050,132250,Public
923205025,168000,Public
923225050,134000,Public
923228250,75000,Public
923228290,84500,Public
923229040,153500,Public
923229140,196000,Public
923230120,138000,Public
923252080,129500,Public
923275200,124500,Public
526302040,157500,Public
526303060,252000,Public
527107020,170000,Public
527108030,250000,Public
527146135,270000,Public
527158020,183500,Public
527163020,165600,Public
527166030,176500,Public
527190050,239000,Public
527212030,556581,Public
527212040,361919,Public
527216010,401179,Public
527226010,169000,Public
527256120,470000,Public
527325160,235000,Public
527327080,190000,Public
527355280,207500,Public
527377030,181000,Public
527403120,88000,Public
527450010,105500,Public
527450080,125500,Public
528102080,412083,Public
528106120,252000,Public
528114010,415000,Public
528116030,326000,Public
528142060,298236,Public
528142110,360000,Public
528144030,281000,Public
528164040,374000,Public
528172150,279000,Public
528174080,185850,Public
528181040,202665,Public
528186110,310090,Public
528218060,170440,Public
528218140,219210,Public
528228325,234000,Public
528228415,178740,Public
528228545,167240,Public
528235050,183200,Public
528235130,178000,Public
528275080,215000,Public
528315070,286000,Public
528344060,280000,Public
528363070,321000,Public
528429130,290000,Public
528456200,198600,Public
528477010,405749,Public
528477030,232600,Public
528480110,200825,Public
528488120,176000,Public
531376050,184900,Public
531379030,187000,Public
531450040,175900,Public
531451290,248500,Public
531479030,119900,Public
532351060,129500,Public
532353180,151000,Public
532376180,116000,Public
532378050,120875,Public
533125120,334000,Public
533128030,268000,Public
533128090,262000,Public
533221080,166000,Public
533223010,183900,Public
533223110,139000,Public
533241010,200000,Public
533252020,165000,Public
533253090,190000,Public
533253160,170000,Public
534126060,170000,Public
534176250,140000,Public
534201130,135500,Public
534201250,155000,Public
534201260,157500,Public
534202180,158000,Public
534400120,185900,Public
534430050,129800,Public
534451050,121600,Public
534453150,127000,Public
534475160,146500,Public
534476100,135000,Public
534479240,137000,Public
534479300,121000,Public
535101110,119000,Public
535152070,143000,Public
535176050,145250,Public
535180070,134450,Public
535301010,135960,Public
535301150,156000,Public
535304020,139500,Public
535325350,125000,Public
535353180,180000,Public
535354130,127000,Public
535376090,117000,Public
535376100,108480,Public
535377100,86900,Public
535379100,120000,Public
535401140,160000,Public
535402230,147000,Public
535403150,159500,Public
535425080,277500,Public
535426195,207500,Public
535454060,93500,Public
535456010,119000,Public
535477060,155000,Public
535478070,120000,Public
535478110,124000,Public
902104020,156500,Public
902110120,111500,Public
902111010,111500,Public
902125020,124000,Public
902128020,105000,Public
902128100,116000,Public
902134060,96900,Public
902207080,126175,Public
902305090,87000,Public
902325100,155000,Public
902329070,114504,Public
902400090,125000,Public
903200050,100000,Public
903231190,115000,Public
903231220,75000,Public
903235020,89000,Public
903236200,113000,Public
903400030,109000,Public
903430130,52500,Public
903451050,107000,Public
903452090,116500,Public
903454080,119500,Public
904302020,80000,Public
904302030,157000,Public
905100030,148000,Public
905101330,90000,Public
905106210,158000,Public
905107300,160500,Public
905108090,156500,Public
905200290,155000,Public
905200340,170000,Public
905202210,164000,Public
905426150,274970,Public
905451050,135000,Public
905451410,137000,Public
906223180,215000,Public
906380170,194000,Public
906392120,294900,Public
906394060,181000,Public
907135230,156000,Public
907180120,214000,Public
907181090,196000,Public
907187010,217000,Public
907192010,200000,Public
907200170,132500,Public
907201230,174000,Public
907202140,128500,Public
907203010,128500,Public
907203040,149900,Public
907227090,119900,Public
907230240,137000,Public
907251100,255000,Public
907252050,222000,Public
907255010,220000,Public
907255050,275000,Public
907285100,237000,Public
907290230,155900,Public
907405030,200000,Public
907420070,163990,Public
908102020,98000,Public
908102330,102000,Public
908188120,130000,Public
908225180,97900,Public
908227010,92000,Public
908227040,81000,Public
908228040,104900,Public
908275220,115000,Public
909101080,83000,Public
909101330,35000,Public
909131125,160000,Public
909175030,140000,Public
909256020,112000,Public
909275230,140000,Public
909280070,218000,Public
909281010,239000,Public
909282110,210000,Public
909426060,257000,Public
909428110,157000,Public
909475020,223000,Public
910207110,106500,Public
911370530,300000,Public
914452060,145000,Public
914476050,135000,Public
916252170,230000,Public
916326010,228000,Public
916402125,176000,Public
916475100,312500,Public
923226180,73000,Public
923229110,150900,Public
923251180,131000,Public
924100070,170000,Public
